Nodes: 232,Edges: 380,
Source: 1,Sink: 232,
1,2,1
1,3,1
1,4,1
1,229,1
1,231,1
2,5,1
2,6,1
3,7,1
3,8,1
4,9,1
4,10,1
5,6,1
5,12,1
6,7,1
7,13,1
8,14,1
8,9,1
9,10,1
10,15,1
11,156,1
11,224,1
11,228,1
12,16,1
12,17,1
13,17,1
13,18,1
14,18,1
14,19,1
15,19,1
15,20,1
16,21,1
16,34,1
17,22,1
18,23,1
19,24,1
20,25,1
20,26,1
21,27,1
21,35,1
22,27,1
22,28,1
23,28,1
23,29,1
23,38,1
24,29,1
24,30,1
25,30,1
25,31,1
26,32,1
26,33,1
27,36,1
28,37,1
29,39,1
30,40,1
31,32,1
31,41,1
32,42,1
33,43,1
33,44,1
34,45,1
34,46,1
34,231,1
35,47,1
35,48,1
36,48,1
36,49,1
37,49,1
37,38,1
38,50,1
38,51,1
39,51,1
39,52,1
40,41,1
40,52,1
41,53,1
42,43,1
42,54,1
43,44,1
44,229,1
45,80,1
45,56,1
46,47,1
46,57,1
47,57,1
48,58,1
49,59,1
50,60,1
50,61,1
50,62,1
51,52,1
53,54,1
53,63,1
54,230,1
55,56,1
55,65,1
55,80,1
56,57,1
56,58,1
58,65,1
58,66,1
59,67,1
59,68,1
60,69,1
60,70,1
61,71,1
61,72,1
61,73,1
62,74,1
62,75,1
63,76,1
63,77,1
64,77,1
64,78,1
64,230,1
65,79,1
66,67,1
66,79,1
66,97,1
67,68,1
68,69,1
68,81,1
69,81,1
70,71,1
71,82,1
72,83,1
72,84,1
72,85,1
73,74,1
73,86,1
74,86,1
75,87,1
75,88,1
76,77,1
76,88,1
78,88,1
78,89,1
79,90,1
80,231,1
81,91,1
82,92,1
83,84,1
83,93,1
84,100,1
84,102,1
85,86,1
85,100,1
87,94,1
87,100,1
88,95,1
89,103,1
89,104,1
89,107,1
90,96,1
90,97,1
91,97,1
91,98,1
92,93,1
92,99,1
93,99,1
94,95,1
96,98,1
96,101,1
98,99,1
101,102,1
101,105,1
102,105,1
102,106,1
102,107,1
103,107,1
103,111,1
103,104,1
104,112,1
105,106,1
105,108,1
106,107,1
106,109,1
107,110,1
108,109,1
108,113,1
108,114,1
109,110,1
109,115,1
110,111,1
111,112,1
111,116,1
111,117,1
112,118,1
113,119,1
113,120,1
114,120,1
114,121,1
115,121,1
115,122,1
116,123,1
116,124,1
117,118,1
117,124,1
118,125,1
119,126,1
119,146,1
120,127,1
121,128,1
121,129,1
122,129,1
122,130,1
123,131,1
123,132,1
123,142,1
124,133,1
125,134,1
125,135,1
126,136,1
126,147,1
127,128,1
127,136,1
128,137,1
129,130,1
130,138,1
130,139,1
131,140,1
131,141,1
132,133,1
132,143,1
133,134,1
133,143,1
134,135,1
134,144,1
135,145,1
136,148,1
137,149,1
137,150,1
138,139,1
138,151,1
138,152,1
139,153,1
139,154,1
140,155,1
140,201,1
141,157,1
141,158,1
141,159,1
142,159,1
142,160,1
142,161,1
143,162,1
144,145,1
144,162,1
144,163,1
145,163,1
146,147,1
146,165,1
147,148,1
147,166,1
148,167,1
149,167,1
149,168,1
150,169,1
150,170,1
151,170,1
151,172,1
152,184,1
152,192,1
152,205,1
152,208,1
152,210,1
153,157,1
153,173,1
153,174,1
154,155,1
154,199,1
155,200,1
156,225,1
156,232,1
157,175,1
158,175,1
158,176,1
159,176,1
159,177,1
160,161,1
160,178,1
160,179,1
161,162,1
162,164,1
163,164,1
164,180,1
165,166,1
165,181,1
166,182,1
166,183,1
167,183,1
168,184,1
168,202,1
169,186,1
169,187,1
170,171,1
171,187,1
171,188,1
172,188,1
172,191,1
173,193,1
173,194,1
174,175,1
174,194,1
176,196,1
177,178,1
177,193,1
177,196,1
178,192,1
179,197,1
179,213,1
180,198,1
180,214,1
181,182,1
181,203,1
181,220,1
181,221,1
182,183,1
182,203,1
182,204,1
183,202,1
184,185,1
184,205,1
185,186,1
185,191,1
186,190,1
187,189,1
188,189,1
189,190,1
190,191,1
192,193,1
192,210,1
193,195,1
194,195,1
195,196,1
197,198,1
199,200,1
199,201,1
200,201,1
202,204,1
203,207,1
203,219,1
204,205,1
205,206,1
206,207,1
206,208,1
207,209,1
207,211,1
207,219,1
208,209,1
208,210,1
209,211,1
210,212,1
211,217,1
211,224,1
212,213,1
212,216,1
213,214,1
214,215,1
215,216,1
215,218,1
216,217,1
217,218,1
218,225,1
219,220,1
219,223,1
220,222,1
220,223,1
221,222,1
221,226,1
222,223,1
223,224,1
223,227,1
224,225,1
224,228,1
226,227,1
226,232,1
227,228,1
227,232,1
228,232,1
229,230,1